img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,14.329,-0.162,-0.294,0.012,0.985,0.002,0.001,0.000,0.000
00001,14.317,-0.274,-0.226,0.036,0.957,0.004,0.002,0.000,0.000
00002,14.305,-0.136,-0.321,0.084,0.904,0.007,0.005,0.000,0.000
00003,14.292,-0.375,-0.259,0.164,0.816,0.008,0.011,0.000,0.000
00004,14.282,-0.064,-0.315,0.243,0.730,0.013,0.013,0.000,0.000
00005,14.266,-0.227,-0.170,0.536,0.407,0.036,0.021,0.000,0.000
00006,14.257,-0.110,0.173,0.605,0.337,0.040,0.018,0.000,0.000
00007,14.239,-0.135,0.414,0.676,0.266,0.037,0.020,0.000,0.000
00008,14.216,0.021,0.240,0.785,0.155,0.036,0.025,0.000,0.000
00009,14.203,-0.053,0.197,0.841,0.098,0.037,0.024,0.000,0.000
00010,14.200,0.168,0.045,0.859,0.081,0.045,0.015,0.000,0.000
00011,14.202,0.022,-0.116,0.878,0.067,0.040,0.015,0.000,0.000
00012,14.207,0.101,-0.529,0.890,0.062,0.031,0.017,0.000,0.000
00013,14.204,-0.070,-0.806,0.892,0.060,0.022,0.026,0.000,0.000
00014,14.202,0.011,-0.875,0.862,0.092,0.023,0.023,0.000,0.000
00015,14.205,0.036,-0.882,0.869,0.090,0.025,0.016,0.000,0.000
00016,14.207,0.098,-0.924,0.865,0.096,0.020,0.018,0.000,0.000
00017,14.213,0.094,-0.770,0.839,0.123,0.022,0.016,0.000,0.000
00018,14.226,0.124,-0.781,0.803,0.159,0.016,0.021,0.000,0.000
00019,14.243,0.150,-0.688,0.776,0.179,0.012,0.033,0.000,0.000
00020,14.255,0.100,-0.603,0.801,0.148,0.013,0.038,0.000,0.000
00021,14.272,0.159,-0.716,0.813,0.145,0.013,0.030,0.000,0.000
00022,14.287,0.103,-0.890,0.821,0.138,0.016,0.025,0.000,0.000
00023,14.293,-0.029,-0.794,0.843,0.115,0.018,0.023,0.000,0.000
00024,14.289,-0.048,-0.448,0.875,0.086,0.022,0.018,0.000,0.000
00025,14.279,-0.085,-0.318,0.883,0.072,0.020,0.025,0.000,0.000
