img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,14.849,-0.643,0.772,0.055,0.935,0.007,0.003,0.000,0.000
00001,14.784,-0.606,0.713,0.195,0.781,0.015,0.009,0.000,0.000
00002,14.714,-0.578,0.796,0.458,0.496,0.033,0.014,0.000,0.000
00003,14.659,-0.486,0.772,0.576,0.367,0.043,0.013,0.000,0.000
00004,14.607,-0.463,0.774,0.601,0.343,0.044,0.012,0.000,0.000
00005,14.562,-0.465,0.711,0.621,0.323,0.046,0.010,0.000,0.000
00006,14.512,-0.496,0.856,0.642,0.301,0.048,0.009,0.000,0.000
00007,14.465,-0.446,0.904,0.641,0.304,0.046,0.009,0.000,0.000
00008,14.426,-0.385,0.754,0.641,0.309,0.042,0.008,0.000,0.000
00009,14.388,-0.392,0.727,0.644,0.313,0.034,0.008,0.000,0.000
00010,14.350,-0.430,0.654,0.678,0.284,0.030,0.008,0.000,0.000
00011,14.313,-0.393,0.352,0.694,0.267,0.030,0.009,0.000,0.000
00012,14.274,-0.402,0.264,0.691,0.269,0.031,0.009,0.000,0.000
00013,14.226,-0.411,0.332,0.656,0.309,0.024,0.011,0.000,0.000
00014,14.179,-0.483,0.271,0.667,0.300,0.026,0.008,0.000,0.000
00015,14.121,-0.539,0.299,0.682,0.288,0.021,0.008,0.000,0.000
00016,14.065,-0.582,0.018,0.714,0.262,0.016,0.008,0.000,0.000
00017,14.005,-0.607,-0.077,0.794,0.186,0.013,0.008,0.000,0.000
00018,13.933,-0.673,-0.024,0.875,0.107,0.011,0.007,0.000,0.000
00019,13.869,-0.597,-0.054,0.896,0.088,0.007,0.008,0.000,0.000
00020,13.806,-0.641,-0.175,0.840,0.142,0.008,0.009,0.000,0.000
00021,13.724,-0.833,-0.134,0.763,0.217,0.008,0.012,0.000,0.000
00022,13.625,-1.126,-0.078,0.807,0.177,0.007,0.009,0.000,0.000
00023,13.495,-1.219,-0.137,0.903,0.081,0.008,0.008,0.000,0.000
00024,13.370,-1.292,-0.192,0.891,0.094,0.008,0.007,0.000,0.000
00025,13.235,-1.423,-0.280,0.854,0.130,0.008,0.008,0.000,0.000
00026,13.075,-1.495,-0.490,0.821,0.163,0.006,0.011,0.000,0.000
00027,12.924,-1.542,-0.634,0.795,0.188,0.005,0.012,0.000,0.000
00028,12.760,-1.697,-0.809,0.764,0.219,0.006,0.011,0.000,0.000
00029,12.568,-1.758,-0.917,0.718,0.264,0.007,0.011,0.000,0.000
00030,12.392,-1.760,-1.214,0.657,0.322,0.005,0.015,0.000,0.000
00031,12.196,-1.754,-1.769,0.620,0.360,0.005,0.015,0.000,0.000
00032,12.032,-1.483,-1.958,0.573,0.408,0.005,0.014,0.000,0.000
00033,11.878,-1.162,-2.019,0.566,0.416,0.005,0.013,0.000,0.000
00034,11.778,-1.039,-2.188,0.545,0.438,0.006,0.011,0.000,0.000
00035,11.678,-0.970,-2.797,0.547,0.436,0.006,0.010,0.000,0.000
00036,11.584,-0.900,-3.450,0.526,0.458,0.008,0.007,0.000,0.000
00037,11.479,-0.974,-3.959,0.520,0.465,0.008,0.007,0.000,0.000
00038,11.371,-1.122,-4.551,0.425,0.561,0.006,0.007,0.000,0.000
00039,11.238,-1.252,-5.619,0.342,0.645,0.005,0.007,0.000,0.000
00040,11.109,-1.283,-6.952,0.291,0.695,0.005,0.009,0.000,0.000
00041,10.985,-1.123,-7.943,0.177,0.812,0.003,0.007,0.000,0.000
00042,10.865,-1.021,-8.927,0.099,0.891,0.002,0.007,0.000,0.000
00043,10.762,-1.116,-9.693,0.075,0.915,0.002,0.008,0.000,0.000
00044,10.657,-0.943,-10.402,0.055,0.935,0.002,0.009,0.000,0.000
00045,10.542,-1.009,-11.174,0.032,0.950,0.001,0.016,0.000,0.000
00046,10.437,-1.000,-11.592,0.035,0.935,0.002,0.028,0.000,0.000
00047,10.321,-1.008,-12.235,0.025,0.942,0.001,0.032,0.000,0.000
00048,10.206,-1.114,-12.864,0.055,0.819,0.003,0.122,0.000,0.000
00049,10.085,-1.139,-13.342,0.113,0.697,0.007,0.182,0.000,0.000
00050,9.959,-1.103,-14.165,0.124,0.722,0.006,0.147,0.000,0.000
00051,9.855,-1.047,-14.882,0.155,0.773,0.012,0.061,0.000,0.000
00052,9.744,-0.915,-15.634,0.092,0.872,0.008,0.028,0.000,0.000
00053,9.648,-0.914,-16.131,0.081,0.860,0.008,0.050,0.000,0.000
00054,9.555,-0.857,-16.587,0.115,0.785,0.019,0.080,0.000,0.000
00055,9.457,-0.795,-17.106,0.190,0.631,0.041,0.138,0.000,0.000
00056,9.383,-0.607,-17.289,0.249,0.536,0.067,0.148,0.001,0.000
00057,9.329,-0.371,-17.497,0.304,0.449,0.095,0.151,0.001,0.001
00058,9.293,-0.301,-18.284,0.260,0.520,0.105,0.113,0.001,0.000
00059,9.253,-0.423,-19.343,0.491,0.178,0.147,0.183,0.001,0.000
00060,9.192,-0.564,-20.283,0.531,0.183,0.145,0.140,0.000,0.000
00061,9.117,-0.695,-20.599,0.470,0.262,0.183,0.085,0.000,0.000
00062,9.060,-0.406,-20.396,0.502,0.235,0.168,0.095,0.000,0.000
00063,9.013,-0.355,-19.920,0.527,0.223,0.132,0.118,0.000,0.000
00064,8.968,-0.458,-19.788,0.392,0.335,0.120,0.151,0.000,0.000
00065,8.905,-0.565,-19.855,0.304,0.372,0.133,0.190,0.001,0.001
00066,8.836,-0.484,-19.854,0.294,0.273,0.181,0.250,0.001,0.001
00067,8.797,-0.077,-19.822,0.269,0.331,0.218,0.181,0.001,0.001
00068,8.801,0.105,-19.830,0.226,0.451,0.187,0.134,0.001,0.001
00069,8.821,0.202,-19.808,0.200,0.546,0.154,0.098,0.001,0.000
00070,8.839,0.230,-19.743,0.198,0.600,0.102,0.099,0.001,0.000
00071,8.871,0.416,-20.118,0.340,0.440,0.089,0.129,0.001,0.000
00072,8.911,0.501,-20.134,0.306,0.413,0.096,0.184,0.001,0.001
00073,8.960,0.512,-20.319,0.256,0.460,0.076,0.208,0.001,0.000
