img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,0.627,0.223,1.050,0.011,0.987,0.001,0.001,0.000,0.000
00001,0.648,0.217,1.186,0.015,0.983,0.001,0.001,0.000,0.000
00002,0.670,0.216,1.140,0.017,0.980,0.002,0.001,0.000,0.000
00003,0.695,0.266,1.313,0.017,0.980,0.001,0.001,0.000,0.000
00004,0.730,0.369,1.144,0.018,0.979,0.001,0.001,0.000,0.000
00005,0.767,0.364,1.007,0.018,0.979,0.001,0.001,0.000,0.000
00006,0.805,0.330,1.377,0.019,0.979,0.001,0.001,0.000,0.000
00007,0.841,0.370,1.509,0.016,0.982,0.001,0.001,0.000,0.000
00008,0.879,0.392,1.241,0.013,0.985,0.001,0.000,0.000,0.000
00009,0.924,0.422,1.314,0.014,0.985,0.001,0.000,0.000,0.000
00010,0.967,0.399,1.663,0.010,0.989,0.001,0.000,0.000,0.000
00011,1.002,0.307,1.650,0.009,0.990,0.001,0.000,0.000,0.000
00012,1.034,0.260,1.664,0.009,0.989,0.001,0.000,0.000,0.000
00013,1.061,0.280,1.756,0.010,0.988,0.001,0.000,0.000,0.000
00014,1.098,0.403,1.763,0.010,0.988,0.001,0.000,0.000,0.000
00015,1.144,0.389,1.566,0.010,0.988,0.001,0.001,0.000,0.000
00016,1.181,0.336,1.682,0.010,0.988,0.001,0.001,0.000,0.000
00017,1.223,0.377,1.986,0.010,0.987,0.001,0.001,0.000,0.000
00018,1.259,0.316,2.040,0.010,0.988,0.001,0.001,0.000,0.000
00019,1.293,0.331,1.868,0.011,0.987,0.002,0.001,0.000,0.000
00020,1.321,0.212,1.854,0.013,0.984,0.002,0.001,0.000,0.000
00021,1.344,0.240,2.008,0.012,0.986,0.002,0.001,0.000,0.000
00022,1.365,0.174,1.870,0.010,0.988,0.001,0.001,0.000,0.000
00023,1.384,0.146,1.913,0.010,0.988,0.001,0.001,0.000,0.000
00024,1.407,0.243,2.061,0.008,0.990,0.001,0.000,0.000,0.000
00025,1.430,0.264,2.139,0.008,0.991,0.001,0.000,0.000,0.000
00026,1.459,0.249,2.223,0.009,0.990,0.001,0.001,0.000,0.000
00027,1.483,0.207,2.257,0.009,0.990,0.001,0.001,0.000,0.000
00028,1.498,0.145,2.098,0.009,0.989,0.001,0.001,0.000,0.000
00029,1.521,0.252,1.925,0.016,0.982,0.001,0.001,0.000,0.000
00030,1.555,0.366,1.899,0.024,0.973,0.001,0.002,0.000,0.000
00031,1.587,0.289,1.444,0.038,0.958,0.001,0.003,0.000,0.000
00032,1.618,0.343,1.169,0.056,0.938,0.002,0.004,0.000,0.000
00033,1.649,0.327,1.379,0.082,0.910,0.002,0.006,0.000,0.000
00034,1.688,0.383,1.024,0.103,0.889,0.003,0.005,0.000,0.000
00035,1.727,0.320,0.954,0.117,0.874,0.003,0.006,0.000,0.000
00036,1.755,0.284,0.861,0.101,0.892,0.002,0.005,0.000,0.000
00037,1.773,0.067,0.372,0.103,0.890,0.002,0.005,0.000,0.000
00038,1.775,0.050,0.945,0.080,0.914,0.002,0.004,0.000,0.000
00039,1.780,0.072,0.923,0.067,0.928,0.002,0.003,0.000,0.000
00040,1.778,-0.045,0.488,0.065,0.930,0.002,0.003,0.000,0.000
00041,1.778,0.129,0.336,0.047,0.949,0.001,0.002,0.000,0.000
00042,1.797,0.294,0.716,0.035,0.962,0.001,0.002,0.000,0.000
00043,1.828,0.300,0.504,0.030,0.967,0.001,0.002,0.000,0.000
00044,1.845,0.166,0.341,0.021,0.977,0.001,0.001,0.000,0.000
00045,1.868,0.156,0.395,0.019,0.980,0.001,0.001,0.000,0.000
00046,1.873,-0.069,0.062,0.012,0.987,0.000,0.001,0.000,0.000
00047,1.870,0.111,-0.365,0.011,0.987,0.000,0.001,0.000,0.000
00048,1.900,0.379,-0.766,0.014,0.984,0.000,0.001,0.000,0.000
00049,1.957,0.598,-0.501,0.019,0.979,0.000,0.002,0.000,0.000
00050,2.033,0.769,-0.440,0.024,0.974,0.001,0.002,0.000,0.000
00051,2.107,0.686,-0.344,0.028,0.969,0.001,0.002,0.000,0.000
00052,2.181,0.697,-0.431,0.036,0.960,0.001,0.002,0.000,0.000
00053,2.249,0.662,-0.609,0.062,0.932,0.001,0.005,0.000,0.000
00054,2.316,0.517,-0.971,0.094,0.898,0.001,0.006,0.000,0.000
00055,2.379,0.769,-0.985,0.168,0.820,0.002,0.010,0.000,0.000
00056,2.461,0.832,-1.217,0.193,0.794,0.002,0.011,0.000,0.000
00057,2.520,0.284,-1.813,0.173,0.817,0.002,0.007,0.000,0.000
00058,2.556,0.375,-1.731,0.190,0.796,0.002,0.011,0.000,0.000
00059,2.608,0.483,-1.372,0.210,0.777,0.003,0.010,0.000,0.000
00060,2.665,0.363,-1.984,0.205,0.780,0.003,0.012,0.000,0.000
00061,2.701,0.240,-1.261,0.193,0.792,0.003,0.012,0.000,0.000
00062,2.733,0.316,-0.393,0.160,0.824,0.003,0.013,0.000,0.000
00063,2.765,0.356,-1.108,0.188,0.796,0.004,0.011,0.000,0.000
00064,2.791,0.305,-1.620,0.168,0.818,0.005,0.008,0.000,0.000
00065,2.832,0.395,-1.599,0.139,0.848,0.005,0.008,0.000,0.000
00066,2.872,0.217,-1.928,0.115,0.874,0.005,0.006,0.000,0.000
00067,2.923,0.540,-2.197,0.086,0.904,0.004,0.006,0.000,0.000
00068,2.970,0.372,-2.852,0.093,0.895,0.005,0.006,0.000,0.000
00069,3.006,0.260,-3.680,0.130,0.851,0.007,0.011,0.000,0.000
00070,3.039,0.262,-3.693,0.176,0.793,0.011,0.019,0.000,0.000
00071,3.083,0.412,-4.046,0.195,0.771,0.015,0.018,0.000,0.000
00072,3.121,0.340,-4.222,0.174,0.795,0.015,0.016,0.000,0.000
00073,3.151,0.254,-3.970,0.154,0.813,0.020,0.012,0.000,0.000
00074,3.176,0.185,-4.454,0.165,0.799,0.027,0.008,0.000,0.000
00075,3.184,-0.014,-4.789,0.157,0.810,0.024,0.009,0.000,0.000
00076,3.186,-0.042,-3.834,0.132,0.839,0.023,0.006,0.000,0.000
00077,3.182,-0.120,-3.387,0.130,0.842,0.022,0.006,0.000,0.000
00078,3.173,-0.060,-2.818,0.103,0.871,0.021,0.004,0.000,0.000
00079,3.164,-0.010,-1.591,0.111,0.860,0.024,0.004,0.000,0.000
00080,3.159,0.002,-0.056,0.077,0.903,0.015,0.004,0.000,0.000
00081,3.161,-0.110,0.865,0.257,0.704,0.028,0.011,0.000,0.000
00082,3.153,-0.085,2.114,0.686,0.242,0.043,0.028,0.000,0.000
00083,3.154,0.029,3.119,0.776,0.151,0.041,0.032,0.000,0.000
00084,3.151,-0.161,3.601,0.792,0.138,0.037,0.033,0.000,0.000
00085,3.142,-0.037,4.536,0.818,0.117,0.038,0.026,0.000,0.000
00086,3.125,-0.256,5.118,0.843,0.098,0.036,0.022,0.000,0.000
00087,3.094,-0.392,5.366,0.858,0.086,0.038,0.018,0.000,0.000
00088,3.044,-0.518,5.509,0.852,0.086,0.045,0.017,0.000,0.000
00089,2.980,-0.628,5.412,0.876,0.079,0.027,0.017,0.000,0.000
00090,2.915,-0.678,5.276,0.924,0.040,0.018,0.017,0.000,0.000
00091,2.830,-0.855,5.096,0.935,0.031,0.016,0.018,0.000,0.000
00092,2.747,-0.951,4.977,0.945,0.024,0.016,0.015,0.000,0.000
00093,2.661,-0.908,4.142,0.951,0.022,0.012,0.015,0.000,0.000
00094,2.565,-0.791,3.533,0.944,0.028,0.010,0.018,0.000,0.000
00095,2.508,-0.424,2.439,0.949,0.025,0.009,0.017,0.000,0.000
00096,2.488,-0.049,1.188,0.936,0.036,0.010,0.018,0.000,0.000
00097,2.498,0.195,0.204,0.931,0.035,0.010,0.024,0.000,0.000
00098,2.526,0.345,0.493,0.913,0.051,0.009,0.027,0.000,0.000
00099,2.550,0.236,0.215,0.891,0.070,0.011,0.028,0.000,0.000
00100,2.561,0.173,0.073,0.868,0.098,0.013,0.021,0.000,0.000
00101,2.581,0.226,0.525,0.811,0.154,0.016,0.019,0.000,0.000
00102,2.619,0.294,0.224,0.692,0.269,0.019,0.020,0.000,0.000
00103,2.635,0.143,-0.076,0.504,0.460,0.015,0.021,0.000,0.000
00104,2.647,0.177,0.174,0.306,0.664,0.011,0.019,0.000,0.000
00105,2.673,0.164,0.665,0.126,0.855,0.008,0.012,0.000,0.000
00106,2.702,0.369,0.205,0.055,0.934,0.005,0.006,0.000,0.000
00107,2.721,0.237,0.133,0.029,0.964,0.003,0.004,0.000,0.000
00108,2.757,0.286,0.457,0.016,0.978,0.001,0.004,0.000,0.000
00109,2.759,-0.216,1.470,0.006,0.992,0.001,0.001,0.000,0.000
00110,2.768,0.218,0.844,0.006,0.993,0.000,0.001,0.000,0.000
00111,2.786,0.163,0.083,0.006,0.992,0.001,0.002,0.000,0.000
00112,2.800,0.149,0.821,0.006,0.991,0.001,0.002,0.000,0.000
00113,2.822,0.214,0.371,0.017,0.977,0.002,0.003,0.000,0.000
