img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,0.008,0.008,-0.001,0.014,0.982,0.003,0.001,0.000,0.000
00001,0.008,-0.002,0.029,0.028,0.965,0.005,0.002,0.000,0.000
00002,0.008,0.009,0.058,0.044,0.947,0.006,0.003,0.000,0.000
00003,0.008,0.006,-0.023,0.050,0.942,0.005,0.003,0.000,0.000
00004,0.008,-0.001,-0.011,0.049,0.944,0.005,0.003,0.000,0.000
00005,0.007,0.001,-0.006,0.051,0.942,0.005,0.002,0.000,0.000
00006,0.007,-0.008,-0.047,0.055,0.939,0.004,0.002,0.000,0.000
00007,0.007,0.009,0.015,0.052,0.942,0.004,0.002,0.000,0.000
00008,0.006,-0.008,0.014,0.049,0.945,0.003,0.002,0.000,0.000
00009,0.006,0.002,0.029,0.044,0.951,0.003,0.002,0.000,0.000
00010,0.006,-0.002,0.037,0.044,0.951,0.003,0.002,0.000,0.000
00011,0.006,0.005,0.008,0.056,0.938,0.003,0.003,0.000,0.000
00012,0.005,0.006,0.064,0.056,0.938,0.003,0.003,0.000,0.000
00013,0.005,-0.006,0.055,0.067,0.927,0.003,0.003,0.000,0.000
00014,0.005,0.007,0.018,0.076,0.917,0.003,0.004,0.000,0.000
00015,0.005,-0.003,0.020,0.113,0.879,0.004,0.004,0.000,0.000
00016,0.005,0.008,-0.012,0.093,0.901,0.003,0.003,0.000,0.000
00017,0.005,-0.007,0.106,0.068,0.928,0.002,0.002,0.000,0.000
00018,0.005,0.001,0.022,0.057,0.939,0.002,0.001,0.000,0.000
00019,0.005,0.000,-0.008,0.032,0.966,0.001,0.001,0.000,0.000
00020,0.005,-0.007,0.014,0.021,0.978,0.001,0.001,0.000,0.000
00021,0.005,0.009,-0.012,0.016,0.983,0.000,0.000,0.000,0.000
00022,0.005,-0.006,0.041,0.015,0.984,0.000,0.000,0.000,0.000
00023,0.005,0.009,-0.070,0.014,0.985,0.000,0.000,0.000,0.000
00024,0.006,-0.003,-0.036,0.013,0.987,0.000,0.000,0.000,0.000
00025,0.006,0.005,0.032,0.013,0.986,0.000,0.000,0.000,0.000
00026,0.006,-0.005,-0.027,0.013,0.986,0.001,0.000,0.000,0.000
00027,0.006,0.014,-0.031,0.015,0.984,0.001,0.000,0.000,0.000
00028,0.006,-0.005,0.048,0.014,0.985,0.001,0.000,0.000,0.000
00029,0.006,0.001,-0.038,0.017,0.982,0.001,0.000,0.000,0.000
00030,0.006,-0.001,-0.020,0.014,0.985,0.001,0.000,0.000,0.000
00031,0.006,0.011,-0.011,0.012,0.987,0.000,0.000,0.000,0.000
00032,0.006,-0.000,-0.003,0.011,0.989,0.000,0.000,0.000,0.000
00033,0.006,0.001,-0.000,0.009,0.991,0.000,0.000,0.000,0.000
00034,0.006,0.012,0.031,0.009,0.991,0.000,0.000,0.000,0.000
00035,0.006,-0.006,0.037,0.008,0.991,0.000,0.000,0.000,0.000
00036,0.006,0.002,-0.002,0.008,0.992,0.000,0.000,0.000,0.000
00037,0.006,0.002,-0.003,0.008,0.992,0.000,0.000,0.000,0.000
00038,0.006,0.007,0.017,0.008,0.992,0.000,0.000,0.000,0.000
00039,0.006,-0.008,0.019,0.008,0.992,0.000,0.000,0.000,0.000
00040,0.006,0.006,0.023,0.007,0.992,0.000,0.000,0.000,0.000
00041,0.006,-0.004,0.003,0.007,0.992,0.000,0.000,0.000,0.000
00042,0.006,0.007,-0.019,0.007,0.992,0.000,0.000,0.000,0.000
00043,0.006,0.006,0.014,0.007,0.992,0.000,0.000,0.000,0.000
00044,0.006,-0.000,0.018,0.007,0.992,0.000,0.000,0.000,0.000
00045,0.006,0.001,0.037,0.007,0.992,0.000,0.000,0.000,0.000
00046,0.014,0.129,0.033,0.007,0.993,0.000,0.000,0.000,0.000
00047,0.030,0.168,0.062,0.006,0.993,0.000,0.000,0.000,0.000
00048,0.047,0.162,0.050,0.007,0.993,0.000,0.000,0.000,0.000
00049,0.061,0.097,-0.043,0.007,0.993,0.000,0.000,0.000,0.000
00050,0.069,0.065,-0.016,0.007,0.993,0.000,0.000,0.000,0.000
00051,0.073,0.025,-0.043,0.007,0.993,0.000,0.000,0.000,0.000
00052,0.075,0.010,-0.036,0.007,0.993,0.000,0.000,0.000,0.000
00053,0.074,-0.011,0.059,0.007,0.993,0.000,0.000,0.000,0.000
00054,0.073,-0.014,-0.063,0.007,0.993,0.000,0.000,0.000,0.000
00055,0.070,-0.040,0.004,0.007,0.993,0.000,0.000,0.000,0.000
00056,0.067,-0.037,0.000,0.006,0.993,0.000,0.000,0.000,0.000
00057,0.062,-0.057,0.007,0.006,0.993,0.000,0.000,0.000,0.000
00058,0.056,-0.062,0.040,0.007,0.993,0.000,0.000,0.000,0.000
00059,0.048,-0.081,0.017,0.007,0.993,0.000,0.000,0.000,0.000
00060,0.040,-0.073,0.033,0.007,0.993,0.000,0.000,0.000,0.000
00061,0.031,-0.089,-0.027,0.007,0.993,0.000,0.000,0.000,0.000
00062,0.020,-0.102,-0.029,0.007,0.993,0.000,0.000,0.000,0.000
00063,0.009,-0.087,0.003,0.007,0.993,0.000,0.000,0.000,0.000
00064,0.005,0.022,-0.012,0.007,0.993,0.000,0.000,0.000,0.000
00065,0.009,0.032,0.016,0.007,0.993,0.000,0.000,0.000,0.000
00066,0.009,-0.030,0.011,0.006,0.993,0.000,0.000,0.000,0.000
00067,0.005,-0.013,0.003,0.006,0.993,0.000,0.000,0.000,0.000
00068,0.006,0.027,0.026,0.006,0.993,0.000,0.000,0.000,0.000
00069,0.008,0.006,0.002,0.006,0.993,0.000,0.000,0.000,0.000
00070,0.005,-0.035,0.011,0.007,0.993,0.000,0.000,0.000,0.000
00071,0.004,0.025,-0.003,0.007,0.992,0.000,0.000,0.000,0.000
00072,0.006,0.006,0.001,0.007,0.993,0.000,0.000,0.000,0.000
00073,0.005,-0.015,0.020,0.007,0.992,0.000,0.000,0.000,0.000
00074,0.003,-0.008,-0.028,0.008,0.992,0.000,0.000,0.000,0.000
00075,0.004,0.021,0.012,0.008,0.991,0.000,0.000,0.000,0.000
00076,0.004,-0.011,-0.044,0.009,0.991,0.000,0.000,0.000,0.000
00077,0.003,-0.010,0.041,0.009,0.990,0.000,0.000,0.000,0.000
00078,0.026,0.401,0.017,0.010,0.989,0.000,0.000,0.000,0.000
00079,0.078,0.585,0.035,0.012,0.987,0.000,0.000,0.000,0.000
00080,0.138,0.598,-0.048,0.012,0.987,0.000,0.000,0.000,0.000
00081,0.201,0.570,0.023,0.014,0.985,0.001,0.000,0.000,0.000
00082,0.257,0.562,0.034,0.014,0.985,0.001,0.000,0.000,0.000
00083,0.318,0.552,0.102,0.015,0.984,0.001,0.000,0.000,0.000
00084,0.372,0.550,0.047,0.015,0.984,0.001,0.000,0.000,0.000
00085,0.427,0.542,0.037,0.016,0.983,0.001,0.000,0.000,0.000
00086,0.487,0.589,0.013,0.017,0.982,0.001,0.000,0.000,0.000
00087,0.551,0.687,0.021,0.022,0.976,0.001,0.001,0.000,0.000
00088,0.637,0.851,0.102,0.035,0.963,0.001,0.001,0.000,0.000
00089,0.731,1.020,0.082,0.037,0.961,0.001,0.001,0.000,0.000
00090,0.835,1.041,0.033,0.030,0.969,0.001,0.001,0.000,0.000
00091,0.936,0.999,0.041,0.036,0.962,0.001,0.001,0.000,0.000
00092,1.042,0.952,0.153,0.093,0.903,0.003,0.001,0.000,0.000
00093,1.142,0.888,0.100,0.174,0.819,0.005,0.002,0.000,0.000
00094,1.217,0.805,-0.032,0.278,0.711,0.008,0.002,0.000,0.000
00095,1.303,0.778,0.067,0.367,0.619,0.010,0.003,0.000,0.000
00096,1.380,0.746,0.136,0.349,0.638,0.010,0.003,0.000,0.000
00097,1.455,0.763,0.111,0.363,0.626,0.008,0.003,0.000,0.000
00098,1.545,0.863,0.150,0.332,0.658,0.007,0.003,0.000,0.000
00099,1.638,0.973,0.079,0.338,0.652,0.006,0.003,0.000,0.000
00100,1.739,1.017,0.050,0.340,0.651,0.005,0.004,0.000,0.000
00101,1.856,1.090,0.142,0.533,0.454,0.009,0.004,0.000,0.000
00102,1.967,1.124,0.060,0.489,0.499,0.008,0.003,0.000,0.000
00103,2.090,1.128,0.089,0.505,0.484,0.007,0.004,0.000,0.000
00104,2.207,1.238,0.158,0.509,0.480,0.007,0.004,0.000,0.000
00105,2.357,1.439,-0.046,0.478,0.511,0.006,0.004,0.000,0.000
00106,2.507,1.523,0.222,0.502,0.487,0.006,0.004,0.000,0.000
00107,2.663,1.608,0.274,0.638,0.351,0.007,0.004,0.000,0.000
00108,2.833,1.741,-0.025,0.651,0.337,0.008,0.003,0.000,0.000
00109,3.033,1.876,0.122,0.688,0.301,0.008,0.003,0.000,0.000
00110,3.229,2.039,0.171,0.728,0.260,0.008,0.004,0.000,0.000
00111,3.458,2.117,0.084,0.717,0.271,0.008,0.003,0.000,0.000
00112,3.670,2.101,0.058,0.807,0.180,0.010,0.004,0.000,0.000
00113,3.881,2.161,0.201,0.833,0.153,0.009,0.004,0.000,0.000
00114,4.083,1.949,0.024,0.856,0.131,0.008,0.004,0.000,0.000
00115,4.290,1.811,0.130,0.874,0.115,0.005,0.006,0.000,0.000
00116,4.474,1.813,0.225,0.870,0.119,0.005,0.006,0.000,0.000
00117,4.655,1.576,-0.163,0.873,0.115,0.005,0.007,0.000,0.000
00118,4.807,1.598,-0.114,0.859,0.128,0.005,0.009,0.000,0.000
00119,4.970,1.677,-0.565,0.749,0.238,0.004,0.009,0.000,0.000
00120,5.139,1.692,-0.959,0.679,0.309,0.004,0.008,0.000,0.000
00121,5.328,1.675,-0.575,0.544,0.446,0.004,0.007,0.000,0.000
00122,5.497,1.687,-0.459,0.476,0.515,0.003,0.006,0.000,0.000
00123,5.665,1.682,-0.501,0.532,0.458,0.003,0.007,0.000,0.000
00124,5.841,1.584,-0.201,0.514,0.477,0.003,0.006,0.000,0.000
00125,6.003,1.626,-0.072,0.524,0.467,0.003,0.006,0.000,0.000
00126,6.164,1.599,-0.166,0.561,0.429,0.003,0.006,0.000,0.000
00127,6.337,1.564,-0.057,0.497,0.494,0.003,0.007,0.000,0.000
00128,6.493,1.507,0.173,0.418,0.574,0.003,0.005,0.000,0.000
00129,6.667,1.558,0.327,0.365,0.629,0.002,0.004,0.000,0.000
00130,6.823,1.642,0.357,0.397,0.596,0.002,0.005,0.000,0.000
00131,6.971,1.574,0.656,0.384,0.609,0.002,0.004,0.000,0.000
00132,7.140,1.541,0.768,0.402,0.590,0.002,0.005,0.000,0.000
00133,7.295,1.609,0.593,0.402,0.591,0.002,0.006,0.000,0.000
00134,7.452,1.393,0.427,0.427,0.564,0.002,0.006,0.000,0.000
00135,7.627,1.596,0.286,0.617,0.372,0.003,0.008,0.000,0.000
00136,7.778,1.487,0.195,0.669,0.320,0.004,0.007,0.000,0.000
00137,7.917,1.321,0.173,0.739,0.249,0.005,0.007,0.000,0.000
00138,8.055,1.136,0.315,0.758,0.230,0.006,0.006,0.000,0.000
00139,8.163,1.006,0.173,0.734,0.255,0.006,0.005,0.000,0.000
00140,8.263,1.030,0.214,0.660,0.329,0.006,0.004,0.000,0.000
00141,8.379,1.080,0.373,0.642,0.347,0.007,0.003,0.000,0.000
00142,8.496,1.242,0.506,0.753,0.235,0.008,0.003,0.000,0.000
00143,8.633,1.317,0.707,0.779,0.209,0.009,0.003,0.000,0.000
00144,8.756,1.215,0.648,0.750,0.237,0.009,0.004,0.000,0.000
00145,8.868,1.050,0.635,0.735,0.253,0.008,0.004,0.000,0.000
00146,8.976,1.264,0.793,0.751,0.237,0.007,0.004,0.000,0.000
00147,9.094,0.981,0.744,0.693,0.295,0.007,0.004,0.000,0.000
00148,9.186,0.884,0.640,0.649,0.340,0.007,0.004,0.000,0.000
00149,9.285,1.073,0.586,0.657,0.332,0.007,0.004,0.000,0.000
00150,9.394,1.142,0.344,0.735,0.253,0.007,0.004,0.000,0.000
00151,9.512,1.358,0.685,0.861,0.126,0.007,0.006,0.000,0.000
00152,9.647,0.978,0.293,0.859,0.128,0.007,0.006,0.000,0.000
00153,9.744,0.864,0.262,0.831,0.158,0.007,0.005,0.000,0.000
00154,9.841,0.898,-0.119,0.794,0.195,0.006,0.005,0.000,0.000
00155,9.937,0.810,-0.330,0.785,0.203,0.007,0.005,0.000,0.000
00156,10.022,0.814,-0.859,0.758,0.231,0.007,0.004,0.000,0.000
00157,10.119,1.013,-0.938,0.763,0.225,0.008,0.004,0.000,0.000
00158,10.236,1.108,-1.101,0.759,0.230,0.008,0.004,0.000,0.000
00159,10.342,0.977,-1.057,0.762,0.226,0.006,0.005,0.000,0.000
00160,10.423,0.758,-0.829,0.812,0.176,0.007,0.005,0.000,0.000
00161,10.512,0.806,-0.513,0.800,0.187,0.006,0.007,0.000,0.000
00162,10.599,0.929,-0.261,0.814,0.172,0.005,0.009,0.000,0.000
00163,10.704,1.056,-0.285,0.813,0.172,0.005,0.010,0.000,0.000
00164,10.810,0.897,-0.086,0.761,0.225,0.005,0.009,0.000,0.000
00165,10.897,0.789,-0.117,0.785,0.199,0.005,0.010,0.000,0.000
00166,10.985,0.867,-0.009,0.767,0.217,0.006,0.009,0.000,0.000
00167,11.090,0.938,0.271,0.733,0.252,0.007,0.009,0.000,0.000
00168,11.167,0.692,0.735,0.700,0.285,0.007,0.009,0.000,0.000
