img_idx,vf (m/s),af (m/s^2),wz (deg/s),res0,res1,res2,res3,res4,res5
00000,0.698,0.399,-0.356,0.032,0.958,0.007,0.003,0.000,0.000
00001,0.733,0.236,-0.138,0.063,0.913,0.016,0.007,0.000,0.000
00002,0.753,0.196,0.407,0.093,0.871,0.020,0.015,0.000,0.000
00003,0.777,0.239,0.223,0.111,0.850,0.023,0.016,0.000,0.000
00004,0.793,0.023,0.079,0.080,0.893,0.016,0.011,0.000,0.000
00005,0.775,-0.335,0.779,0.068,0.909,0.015,0.007,0.000,0.000
00006,0.728,-0.555,0.942,0.083,0.893,0.014,0.010,0.000,0.000
00007,0.672,-0.482,0.589,0.084,0.895,0.014,0.007,0.000,0.000
00008,0.628,-0.418,1.353,0.125,0.850,0.016,0.009,0.000,0.000
00009,0.581,-0.481,1.840,0.109,0.872,0.013,0.006,0.000,0.000
00010,0.530,-0.525,1.729,0.102,0.881,0.013,0.004,0.000,0.000
00011,0.477,-0.539,1.910,0.117,0.867,0.012,0.004,0.000,0.000
00012,0.419,-0.541,1.723,0.107,0.881,0.009,0.003,0.000,0.000
00013,0.365,-0.513,1.516,0.078,0.914,0.005,0.003,0.000,0.000
00014,0.335,0.055,1.563,0.074,0.920,0.003,0.003,0.000,0.000
00015,0.369,0.521,1.869,0.079,0.915,0.003,0.003,0.000,0.000
00016,0.430,0.654,1.825,0.057,0.938,0.003,0.001,0.000,0.000
00017,0.505,0.685,2.285,0.037,0.960,0.002,0.001,0.000,0.000
00018,0.574,0.665,2.906,0.025,0.973,0.001,0.001,0.000,0.000
00019,0.638,0.605,2.987,0.011,0.988,0.001,0.000,0.000,0.000
00020,0.705,0.621,3.121,0.009,0.991,0.000,0.000,0.000,0.000
00021,0.769,0.630,3.378,0.007,0.992,0.000,0.000,0.000,0.000
00022,0.835,0.614,3.192,0.006,0.993,0.000,0.000,0.000,0.000
00023,0.900,0.652,3.312,0.004,0.995,0.000,0.000,0.000,0.000
00024,0.967,0.720,3.350,0.012,0.987,0.001,0.000,0.000,0.000
00025,1.053,0.817,3.152,0.051,0.946,0.002,0.001,0.000,0.000
00026,1.142,0.950,2.926,0.070,0.926,0.003,0.001,0.000,0.000
00027,1.246,1.093,2.577,0.054,0.943,0.002,0.001,0.000,0.000
00028,1.379,1.231,2.216,0.049,0.949,0.001,0.001,0.000,0.000
00029,1.508,1.293,2.528,0.065,0.932,0.002,0.001,0.000,0.000
00030,1.660,1.390,2.634,0.096,0.900,0.002,0.002,0.000,0.000
00031,1.793,1.267,2.452,0.120,0.875,0.002,0.002,0.000,0.000
00032,1.923,1.254,2.696,0.127,0.869,0.002,0.003,0.000,0.000
00033,2.061,1.240,2.572,0.063,0.934,0.001,0.001,0.000,0.000
00034,2.187,1.216,2.634,0.106,0.890,0.001,0.003,0.000,0.000
00035,2.311,1.140,3.121,0.150,0.845,0.002,0.003,0.000,0.000
00036,2.414,0.981,3.673,0.161,0.833,0.002,0.003,0.000,0.000
00037,2.515,1.008,3.660,0.126,0.870,0.002,0.003,0.000,0.000
00038,2.620,0.939,3.339,0.104,0.892,0.002,0.002,0.000,0.000
00039,2.718,1.019,3.736,0.146,0.848,0.003,0.003,0.000,0.000
00040,2.842,1.095,3.806,0.223,0.765,0.007,0.005,0.000,0.000
00041,2.937,0.822,3.595,0.344,0.641,0.007,0.008,0.000,0.000
00042,3.007,0.676,3.270,0.596,0.377,0.010,0.016,0.000,0.000
00043,3.076,0.569,2.935,0.673,0.294,0.012,0.020,0.000,0.000
00044,3.128,0.484,2.177,0.699,0.266,0.012,0.023,0.000,0.000
00045,3.176,0.523,1.373,0.696,0.267,0.012,0.024,0.000,0.000
00046,3.221,0.356,0.558,0.739,0.224,0.012,0.024,0.000,0.000
00047,3.260,0.429,-0.251,0.685,0.273,0.010,0.032,0.000,0.000
00048,3.299,0.269,-1.720,0.576,0.379,0.007,0.038,0.000,0.000
00049,3.327,0.241,-2.869,0.404,0.555,0.005,0.035,0.000,0.000
00050,3.359,0.305,-3.373,0.364,0.601,0.005,0.030,0.000,0.000
00051,3.388,0.252,-3.559,0.270,0.698,0.004,0.029,0.000,0.000
00052,3.410,0.201,-3.432,0.297,0.662,0.003,0.038,0.000,0.000
00053,3.429,0.095,-3.668,0.360,0.587,0.004,0.049,0.000,0.000
00054,3.437,0.127,-3.563,0.386,0.562,0.004,0.048,0.000,0.000
00055,3.442,0.063,-3.928,0.303,0.661,0.004,0.032,0.000,0.000
00056,3.445,0.029,-3.789,0.353,0.612,0.005,0.030,0.000,0.000
00057,3.452,0.050,-3.303,0.296,0.680,0.004,0.020,0.000,0.000
00058,3.458,0.020,-3.310,0.539,0.428,0.010,0.024,0.000,0.000
00059,3.460,0.006,-3.063,0.598,0.365,0.011,0.026,0.000,0.000
00060,3.458,-0.042,-2.668,0.667,0.292,0.015,0.026,0.000,0.000
00061,3.452,-0.027,-2.010,0.640,0.322,0.016,0.022,0.000,0.000
00062,3.453,0.072,-2.004,0.590,0.371,0.016,0.023,0.000,0.000
00063,3.448,-0.152,-1.596,0.558,0.403,0.018,0.021,0.000,0.000
00064,3.406,-0.672,-1.429,0.554,0.411,0.019,0.016,0.000,0.000
00065,3.303,-1.306,-2.032,0.492,0.475,0.015,0.018,0.000,0.000
00066,3.148,-1.472,-2.012,0.459,0.510,0.014,0.017,0.000,0.000
00067,2.995,-1.555,-2.153,0.466,0.495,0.011,0.027,0.000,0.000
00068,2.835,-1.604,-2.869,0.474,0.484,0.013,0.029,0.000,0.000
00069,2.662,-1.587,-2.947,0.492,0.467,0.017,0.023,0.000,0.000
00070,2.504,-1.582,-2.537,0.479,0.482,0.017,0.021,0.000,0.000
00071,2.324,-1.697,-2.253,0.445,0.517,0.017,0.021,0.000,0.000
00072,2.150,-1.858,-2.364,0.360,0.610,0.017,0.013,0.000,0.000
00073,1.969,-1.857,-2.189,0.284,0.691,0.017,0.008,0.000,0.000
00074,1.766,-1.854,-1.575,0.170,0.812,0.014,0.004,0.000,0.000
00075,1.568,-1.978,-1.718,0.125,0.859,0.013,0.003,0.000,0.000
00076,1.362,-2.122,-1.618,0.097,0.890,0.012,0.002,0.000,0.000
00077,1.128,-2.084,-1.305,0.066,0.924,0.008,0.001,0.000,0.000
00078,0.940,-1.671,-0.879,0.060,0.932,0.007,0.001,0.000,0.000
00079,0.816,-0.707,-0.732,0.050,0.944,0.004,0.001,0.000,0.000
00080,0.780,-0.141,-0.738,0.047,0.948,0.003,0.002,0.000,0.000
00081,0.782,0.130,-0.367,0.045,0.951,0.002,0.002,0.000,0.000
00082,0.801,0.193,-0.186,0.050,0.945,0.002,0.003,0.000,0.000
00083,0.819,0.183,0.111,0.043,0.953,0.002,0.003,0.000,0.000
00084,0.837,0.156,0.642,0.039,0.956,0.001,0.003,0.000,0.000
00085,0.855,0.178,1.235,0.038,0.958,0.001,0.003,0.000,0.000
00086,0.871,0.140,1.863,0.039,0.957,0.001,0.003,0.000,0.000
00087,0.887,0.163,2.516,0.040,0.956,0.001,0.003,0.000,0.000
00088,0.908,0.243,2.753,0.041,0.955,0.001,0.003,0.000,0.000
00089,0.938,0.326,2.874,0.062,0.934,0.002,0.002,0.000,0.000
00090,0.980,0.419,2.982,0.075,0.921,0.002,0.002,0.000,0.000
00091,1.028,0.520,3.175,0.257,0.734,0.006,0.003,0.000,0.000
